iter	Passed	Remaining
543	1329	1114
544	1331	1111
545	1333	1108
546	1335	1105
547	1337	1102
548	1339	1100
549	1340	1097
550	1342	1094
551	1344	1091
552	1346	1088
553	1349	1086
554	1350	1083
555	1352	1080
556	1354	1077
557	1356	1074
558	1358	1071
559	1360	1068
560	1362	1066
561	1364	1063
562	1366	1060
563	1368	1057
564	1370	1055
565	1372	1052
566	1374	1049
567	1376	1046
568	1378	1044
569	1380	1041
570	1382	1038
571	1384	1035
572	1386	1032
573	1387	1030
574	1389	1027
575	1391	1024
576	1393	1021
577	1395	1019
578	1398	1016
579	1399	1013
580	1402	1011
581	1404	1008
582	1406	1005
583	1408	1003
584	1410	1000
585	1412	998
586	1415	995
587	1417	992
588	1419	990
589	1421	987
590	1423	984
591	1425	982
592	1427	979
593	1429	976
594	1431	974
595	1433	971
596	1435	968
597	1437	966
598	1439	963
599	1441	960
600	1443	958
601	1445	955
602	1447	952
603	1449	950
604	1451	947
605	1453	944
606	1455	942
607	1457	939
608	1459	937
609	1461	934
610	1463	931
611	1465	929
612	1467	926
613	1469	923
614	1471	921
615	1473	918
616	1475	915
617	1477	913
618	1479	910
619	1481	908
620	1483	905
621	1486	903
622	1488	900
623	1490	898
624	1492	895
625	1495	893
626	1497	890
627	1499	888
628	1502	886
629	1505	884
630	1507	881
631	1510	879
632	1512	877
633	1515	874
634	1517	872
635	1519	869
636	1521	867
637	1523	864
638	1526	862
639	1528	859
640	1530	857
641	1532	854
642	1534	852
643	1536	849
644	1539	847
645	1541	844
646	1543	842
647	1545	839
648	1548	837
649	1550	834
650	1552	832
651	1554	829
652	1556	826
653	1558	824
654	1560	821
655	1562	819
656	1564	816
657	1567	814
658	1569	811
659	1571	809
660	1573	806
661	1575	804
662	1578	802
663	1580	799
664	1588	800
665	1590	797
666	1592	795
667	1594	792
668	1597	790
669	1599	787
670	1601	785
671	1603	782
672	1606	780
673	1608	777
674	1610	775
675	1612	772
676	1614	770
677	1616	767
678	1618	765
679	1621	762
680	1623	760
681	1625	758
682	1628	755
683	1630	753
684	1632	750
685	1634	748
686	1636	745
687	1639	743
688	1641	740
689	1643	738
690	1645	735
691	1647	733
692	1650	731
693	1652	728
694	1654	726
695	1656	723
696	1658	721
697	1661	718
698	1663	716
699	1665	713
700	1667	711
701	1669	708
702	1671	706
703	1673	703
704	1675	701
705	1678	698
706	1680	696
707	1682	693
708	1684	691
709	1686	688
710	1688	686
711	1690	683
712	1692	681
713	1695	679
714	1697	676
715	1700	674
716	1702	671
717	1704	669
718	1706	666
719	1708	664
720	1710	662
721	1712	659
722	1715	657
723	1717	654
724	1719	652
725	1721	649
726	1724	647
727	1726	644
728	1728	642
729	1730	639
730	1732	637
731	1734	635
732	1736	632
733	1738	630
734	1741	627
735	1743	625
736	1745	622
737	1748	620
738	1750	618
739	1752	615
740	1754	613
741	1756	610
742	1758	608
743	1760	605
744	1763	603
745	1764	600
746	1767	598
747	1769	596
748	1772	593
749	1774	591
750	1776	588
751	1778	586
752	1780	584
753	1782	581
754	1784	579
755	1787	576
756	1789	574
757	1791	571
758	1793	569
759	1795	567
760	1797	564
761	1800	562
762	1802	559
763	1804	557
764	1806	554
765	1808	552
766	1810	549
767	1812	547
768	1814	545
769	1817	542
770	1819	540
771	1821	538
772	1824	535
773	1826	533
774	1828	530
775	1831	528
776	1832	525
777	1834	523
778	1836	520
779	1838	518
780	1840	516
781	1843	513
782	1845	511
783	1847	509
784	1849	506
785	1851	504
786	1853	501
787	1855	499
788	1857	496
789	1860	494
790	1862	492
791	1864	489
792	1867	487
793	1869	484
794	1871	482
795	1873	480
796	1876	477
797	1879	475
798	1881	473
799	1883	470
800	1885	468
801	1887	466
802	1889	463
803	1891	461
804	1893	458
805	1896	456
806	1898	453
807	1900	451
808	1902	449
809	1904	446
810	1906	444
811	1908	441
812	1911	439
813	1913	437
814	1915	434
815	1917	432
816	1919	430
817	1921	427
818	1924	425
819	1926	422
820	1928	420
821	1930	417
822	1932	415
823	1934	413
824	1936	410
825	1938	408
826	1940	406
827	1943	403
828	1945	401
829	1947	398
830	1949	396
831	1951	394
832	1953	391
833	1956	389
834	1958	386
835	1960	384
836	1962	382
837	1965	379
838	1968	377
839	1970	375
840	1972	372
841	1974	370
842	1976	368
843	1978	365
844	1980	363
845	1982	360
846	1984	358
847	1987	356
848	1989	353
849	1991	351
850	1993	349
851	1995	346
852	1997	344
853	1999	341
854	2001	339
855	2004	337
856	2006	334
857	2008	332
858	2011	330
859	2013	327
860	2015	325
861	2017	323
862	2020	320
863	2022	318
864	2024	315
865	2026	313
866	2028	311
867	2031	308
868	2033	306
869	2036	304
870	2048	303
871	2051	301
872	2053	298
873	2056	296
874	2058	294
875	2061	291
876	2063	289
877	2066	287
878	2068	284
879	2070	282
880	2073	280
881	2075	277
882	2077	275
883	2079	272
884	2081	270
885	2083	268
886	2085	265
887	2088	263
888	2090	260
889	2092	258
890	2095	256
891	2097	253
892	2099	251
893	2101	249
894	2104	246
895	2106	244
896	2108	242
897	2110	239
898	2112	237
899	2114	234
900	2116	232
901	2119	230
902	2121	227
903	2123	225
904	2125	223
905	2127	220
906	2129	218
907	2131	216
908	2133	213
909	2135	211
910	2137	208
911	2140	206
912	2142	204
913	2144	201
914	2146	199
915	2148	197
916	2150	194
917	2153	192
918	2155	189
919	2157	187
920	2159	185
921	2161	182
922	2163	180
923	2165	178
924	2167	175
925	2170	173
926	2172	171
927	2174	168
928	2176	166
929	2178	163
930	2180	161
931	2183	159
932	2185	156
933	2187	154
934	2189	152
935	2191	149
936	2193	147
937	2195	145
938	2197	142
939	2199	140
940	2201	138
941	2203	135
942	2205	133
943	2208	130
944	2209	128
945	2212	126
946	2214	123
947	2216	121
948	2218	119
949	2220	116
950	2222	114
951	2224	112
952	2226	109
953	2229	107
954	2231	105
955	2233	102
956	2236	100
957	2238	98
958	2241	95
959	2244	93
960	2246	91
961	2249	88
962	2251	86
963	2253	84
964	2256	81
965	2258	79
966	2261	77
967	2264	74
968	2266	72
969	2268	70
970	2270	67
971	2273	65
972	2275	63
973	2278	60
974	2280	58
975	2282	56
976	2284	53
977	2287	51
978	2289	49
979	2291	46
980	2293	44
981	2296	42
982	2297	39
983	2300	37
984	2302	35
985	2304	32
986	2306	30
987	2308	28
988	2310	25
989	2312	23
990	2315	21
991	2317	18
992	2320	16
993	2322	14
994	2324	11
995	2326	9
996	2328	7
997	2330	4
998	2332	2
999	2334	0
