iter	RMSE
0	0.2476909567
1	0.2450477981
2	0.243583613
3	0.2421832035
4	0.2393036476
5	0.2374139191
6	0.2358503653
7	0.2337711553
8	0.2319900878
9	0.230725951
10	0.2289677867
11	0.2274851434
12	0.22544037
13	0.2233975578
14	0.2214061452
15	0.2193381818
16	0.2173731343
17	0.2158706133
18	0.2137876616
19	0.2124968601
20	0.2105013636
21	0.2089868332
22	0.207199406
23	0.2056667122
24	0.203970105
25	0.2027652816
26	0.2003603574
27	0.1983262532
28	0.1964603774
29	0.1955111368
30	0.193620731
31	0.1920234288
32	0.1904558526
33	0.1884823365
34	0.1873663742
35	0.1864420904
36	0.1852840702
37	0.183825651
38	0.1818432553
39	0.1800438042
40	0.1782734464
41	0.1772032549
42	0.1761487533
43	0.1745961036
44	0.1733675656
45	0.1718494703
46	0.1711847708
47	0.1703567953
48	0.1689931613
49	0.1677225253
50	0.1663475246
51	0.1646917184
52	0.1629519479
53	0.1616445983
54	0.1604716172
55	0.1596030454
56	0.1578882838
57	0.1570353557
58	0.1558539793
59	0.1551657005
60	0.1539345719
61	0.1529439142
62	0.1514260442
63	0.1505379469
64	0.1492171669
65	0.147580077
66	0.1465073352
67	0.1454776537
68	0.14423078
69	0.1432364041
70	0.1422507044
71	0.1413260422
72	0.1402897073
73	0.1388050156
74	0.1378851399
75	0.1367963807
76	0.1355897488
77	0.1350081001
78	0.1338811361
79	0.1330335129
80	0.132361876
81	0.1315218674
82	0.1304972476
83	0.1297572454
84	0.1287225147
85	0.1279806674
86	0.1270018295
87	0.1261271884
88	0.1253419703
89	0.1242710541
90	0.1237079836
91	0.1229861436
92	0.1226156546
93	0.122214711
94	0.1214697062
95	0.1200437141
96	0.1190342722
97	0.1183002402
98	0.1169041299
99	0.1153770345
100	0.1147944229
101	0.1143856797
102	0.113666068
103	0.1126851867
104	0.1120487152
105	0.1111194701
106	0.1097305475
107	0.1089062343
108	0.1079332429
109	0.1070251574
110	0.1064913197
111	0.1055652375
112	0.1048633423
113	0.103804647
114	0.102914543
115	0.1022779547
116	0.1016396328
117	0.1007935679
118	0.1002024555
119	0.09945114259
120	0.09881895571
121	0.0979313136
122	0.09748501476
123	0.09698361678
124	0.09630245421
125	0.09570290922
126	0.09474456662
127	0.09443075535
128	0.09387094468
129	0.09341904813
130	0.0930355677
131	0.09244320998
132	0.09199817889
133	0.09117075616
134	0.09028600471
135	0.08981792374
136	0.08941503315
137	0.0888119372
138	0.08818363922
139	0.08747213527
140	0.08678243534
141	0.08610627301
142	0.08561026582
143	0.08479670948
144	0.08403503579
145	0.08362571891
146	0.08309834879
147	0.08278636612
148	0.08203449714
149	0.08157336213
150	0.08121110319
151	0.08054870142
152	0.07971918771
153	0.07949693967
154	0.07899565981
155	0.07842525573
156	0.07781535582
157	0.07730636751
158	0.07660284689
159	0.0759653415
160	0.0753917295
161	0.07496358758
162	0.07452463884
163	0.07406091794
164	0.07354041039
165	0.0730041198
166	0.07235094118
167	0.0717547534
168	0.07136606321
169	0.07085781287
170	0.07032598255
171	0.06980936663
172	0.06926942766
173	0.06877911798
174	0.06816610312
175	0.06769725382
176	0.06719017518
177	0.06651052043
178	0.06589689738
179	0.06536940613
180	0.06474176739
181	0.06444316282
182	0.06384809558
183	0.06332321963
184	0.06298914981
185	0.06277302493
186	0.06243478314
187	0.06221160893
188	0.06161520245
189	0.06085360966
190	0.06050563709
191	0.06000872325
192	0.05965369322
193	0.05906706692
194	0.05878647904
195	0.05831081206
196	0.05786897061
197	0.05739746106
198	0.05729667221
199	0.05692993505
200	0.05663068165
201	0.05610953758
202	0.05555544593
203	0.05523029316
204	0.05483176619
205	0.05460585537
206	0.05430846285
207	0.05387035352
208	0.05328301243
209	0.05280962638
210	0.05233762814
211	0.05193883443
212	0.05157479387
213	0.05127171595
214	0.0507405451
215	0.05026298055
216	0.04991912475
217	0.04937979924
218	0.04915291437
219	0.04873946444
220	0.04844013872
221	0.04801621749
222	0.04749916799
223	0.04726461997
224	0.04706433184
225	0.04664538518
226	0.04627177836
227	0.04592445891
228	0.04574510163
229	0.04544896133
230	0.04519695671
231	0.0447893084
232	0.04451006315
233	0.04408185767
234	0.04367053837
235	0.04349103477
236	0.0432405904
237	0.04289929461
238	0.04246179728
239	0.04203299238
240	0.0417212068
241	0.04156927297
242	0.04130278438
243	0.04094166408
244	0.04058032071
245	0.0403069478
246	0.04001848142
247	0.03969414436
248	0.03947071452
249	0.03915883637
250	0.03890788953
251	0.0386968227
252	0.0384307771
253	0.03818925344
254	0.03798710596
255	0.03773885761
256	0.03742020241
257	0.03704806214
258	0.03684955689
259	0.03665094248
260	0.03633214826
261	0.03611086776
262	0.03583103325
263	0.03567743968
264	0.0353885679
265	0.035075443
266	0.03487408386
267	0.034583877
268	0.03432020465
269	0.03410974325
270	0.03386233862
271	0.03352991279
272	0.03321005803
273	0.03303211653
274	0.0327618102
275	0.0324604615
276	0.03224300761
277	0.0320024931
278	0.03181429722
279	0.03155693207
280	0.03139002661
281	0.03121324586
282	0.03099185884
283	0.03076131758
284	0.03047002596
285	0.03017384306
286	0.02988141285
287	0.02970090134
288	0.02946424142
289	0.02929030281
290	0.02907290397
291	0.02889096185
292	0.02867445259
293	0.0284654686
294	0.02823531389
295	0.02806522726
296	0.0278145121
297	0.02761855212
298	0.02754229977
299	0.02740362815
300	0.02731930825
301	0.02726015138
302	0.02719894046
303	0.02701115036
304	0.02690850753
305	0.02685696989
306	0.02671071858
307	0.02658635917
308	0.02653822884
309	0.02639591025
310	0.02634127832
311	0.02623837221
312	0.02614623684
313	0.02595522485
314	0.02585567339
315	0.02567146359
316	0.02563706009
317	0.02550352276
318	0.02527028229
319	0.02519746224
320	0.0250521868
321	0.02491393037
322	0.0248809844
323	0.02486550977
324	0.02472197484
325	0.02453872253
326	0.0244745821
327	0.02427938873
328	0.02413127055
329	0.02397271012
330	0.02395759219
331	0.02386883372
332	0.02385411557
333	0.02371247092
334	0.02354351712
335	0.02352875493
336	0.0234990485
337	0.02348494225
338	0.0233028443
339	0.02319830945
340	0.02300047213
341	0.02296623341
342	0.02278700681
343	0.02277337317
344	0.02262856615
345	0.02261503092
346	0.02260174009
347	0.02246237854
348	0.02231879495
349	0.02217163322
350	0.02209348717
351	0.02205449301
352	0.02202279926
353	0.02189759806
354	0.02188499575
355	0.02177616664
356	0.02166329637
357	0.02153087213
358	0.02143291504
359	0.02132991769
360	0.02122787439
361	0.02116113661
362	0.02101435915
363	0.02099211568
364	0.02091434744
365	0.02075539067
366	0.02073387187
367	0.02071256412
368	0.02056776795
369	0.02042519299
370	0.02027492684
371	0.02026372872
372	0.02025277397
373	0.02021185884
374	0.02018682051
375	0.02017686379
376	0.02003227813
377	0.01986229112
378	0.01978128034
379	0.01965715284
380	0.01957280266
381	0.01955390217
382	0.01954328013
383	0.01943351525
384	0.01930832879
385	0.01926030196
386	0.01923148585
387	0.01919817524
388	0.01917926989
389	0.01900174111
390	0.01888532968
391	0.01879710551
392	0.01871946272
393	0.0185922552
394	0.01853862671
395	0.01847670896
396	0.01832534503
397	0.01824140562
398	0.0181890926
399	0.01808385086
400	0.01797336145
401	0.01795604444
402	0.01793056307
403	0.0179220393
404	0.01779779353
405	0.01777999009
406	0.01777093488
407	0.0177627598
408	0.01765673515
409	0.01755698545
410	0.01748038289
411	0.01743892405
412	0.01740501943
413	0.01730971908
414	0.01719730312
415	0.01708297124
416	0.01699586104
417	0.01697914921
418	0.01697112181
419	0.01682915055
420	0.01673713949
421	0.01670115136
422	0.01657480976
423	0.01648024337
424	0.0163909173
425	0.01624058417
426	0.01609668135
427	0.01602956543
428	0.01599113374
429	0.01597546343
430	0.01589600122
431	0.01588716585
432	0.01587943218
433	0.01587221111
434	0.01575107396
435	0.0156800993
436	0.01558757916
437	0.01558046583
438	0.01550713409
439	0.01538325319
440	0.0153755556
441	0.01536762461
442	0.01525042797
443	0.01515915036
444	0.01508500837
445	0.01507830794
446	0.0150663697
447	0.01498255797
448	0.01490431499
449	0.01489784948
450	0.01479005973
451	0.01470192079
452	0.01466399097
453	0.01456108706
454	0.01447435566
455	0.0144101364
456	0.01435334788
457	0.01433910126
458	0.0142705895
459	0.01424826498
460	0.01423511557
461	0.01414592006
462	0.0141399396
463	0.01404597178
464	0.01394317543
465	0.01386291475
466	0.0138481209
