Sample ID,WWTP ID,SiteID,Site Name,Sampling Date,Latitude,Longitude,City Name,Country/Region,Continent,Climate typea,Annual average,Annual mean of daily maximum,Annual mean of daily minimum,Sampling month average,Sampling moment,Annual,Sampling month,GDP per capita (dollars),City population,Year of plant build,Designed capacity (m3/d),Actual Inf rate (m3/d),Volume of aeration tanks (m3),Plant,Aeration tank,SRT (d),General type ,Detailed type,Nitrification,Denitrification,Aerator type,BOD (mg/l) Inf,BOD (mg/l) inf/(1+recycle ratio),BOD (mg/l) Aeration tank inf,BOD (mg/l) Eff,COD (mg/l) Inf,COD (mg/l) Inf/(1+recycle ratio),COD (mg/l) Aeration tank inf,COD (mg/l) Eff,F/M (kg BOD/kg MLSS-d),NH4-N (mg/l) Inf,NH4-N (mg/l) Aeration tank inf,NH4-N (mg/l) Eff,TN (mg/l) Inf,TN (mg/l) Aeration tank inf,TN (mg/l) Eff,TP (mg/l) Inf,TP (mg/l) Aeration tank inf,TP (mg/l) Eff,Contained in Inf?,Percentage,MLSS (mg/l),DO (mg/l),pH,Mixed liquid temperature (oC),Conductivity (μS/cm),NH4-N (mg/l),NO3-N (mg/l),SVI (ml/g),Unnamed: 0,Sample ID,Sampling month average,Sampling month,SRTd,COD,NH4N,TP,Proteobacteria,Bacteroidota,Patescibacteria,Unclassified,Firmicutes,Planctomycetota,Verrucomicrobiota,Chloroflexi,Myxococcota,Others,Bdellovibrionota,Actinobacteriota,Acidobacteriota,Desulfobacterota,Dependentiae,Cyanobacteria,Spirochaetota,Nanoarchaeota,Elusimicrobiota,SAR324 clade(Marine group B),Armatimonadota
SASC5,SASC1,SACT,Cape Town,2015-04-22,-33.8712423,18.7344695,Cape Town,South Africa,Africa,Csa,18.0,28.0,7.0,18.0,,661.0,55.0,14086.0,4178700.0,2006.0,12000.0,10000.0,1116.0,,,25.0,A2O,UCT; interchangeable (UCT/MUCT/JHB/3-stage Phoredox),Yes,Yes,,,,,,969.0,,710.0,30.0,,89.1,70.0,1.5,148.0,,,15.1,10.0,2.2,Yes,0.075,5550.0,1.2,7.1,20.0,,,,,10.0,SASC5,18.0,55.0,25.0,969.0,89.1,15.1,27.234375,31.00390625,4.0234375,2.97265625,1.5390625,5.92578125,2.9140625,3.31640625,3.3203125,5.8203125,1.0078125,0.75390625,6.03515625,0.45703125,0.28515625,0.34375,0.34765625,0.17578125,0.81640625,0.98046875,0.7265625
SASC6,SASC1,SACT,Cape Town,2015-04-22,-33.8712423,18.7344695,Cape Town,South Africa,Africa,Csa,18.0,28.0,7.0,18.0,,661.0,55.0,14086.0,4178700.0,2006.0,12000.0,10000.0,1116.0,,,25.0,A2O,UCT; interchangeable (UCT/MUCT/JHB/3-stage Phoredox),Yes,Yes,,,,,,969.0,,710.0,30.0,,89.1,70.0,1.5,148.0,,,15.1,10.0,2.2,Yes,0.075,5550.0,1.2,7.1,20.0,,,,,11.0,SASC6,18.0,55.0,25.0,969.0,89.1,15.1,26.1875,31.01953125,4.2890625,3.125,1.57421875,5.66796875,2.94140625,3.6015625,3.25,5.69921875,1.0859375,0.77734375,6.14453125,0.44140625,0.28125,0.39453125,0.3984375,0.16015625,0.8984375,1.3046875,0.7578125
SAKB1,SAKB1,SADB,Durban,2015-04-22,-30.075822,30.8562836,Durban,South Africa,Africa,Cfa,18.0,28.0,7.0,18.0,,975.0,70.0,12884.0,3796000.0,1995.0,3100.0,3400.0,4380.0,,,28.0,A2O,UCT,Yes,Yes,,473.0,,473.0,18.3,697.0,,697.0,39.0,0.097134643,18.69,18.69,0.0,,,,3.87,3.87,0.45,Yes,0.075,3780.0,1.33,7.35,22.2,,,,,12.0,SAKB1,18.0,70.0,28.0,697.0,18.69,3.87,25.703125,43.80078125,4.40625,0.5703125,1.22265625,1.328125,2.953125,6.19921875,0.71875,4.91015625,0.85546875,0.7421875,3.88671875,0.82421875,0.140625,0.11328125,0.2890625,0.08203125,0.30078125,0.41796875,0.53515625
SAKB2,SAKB1,SADB,Durban,2015-04-22,-30.075822,30.8562836,Durban,South Africa,Africa,Cfa,18.0,28.0,7.0,18.0,,975.0,70.0,12884.0,3796000.0,1995.0,3100.0,3400.0,4380.0,,,28.0,A2O,UCT,Yes,Yes,,473.0,,473.0,18.3,697.0,,697.0,39.0,0.097134643,18.69,18.69,0.0,,,,3.87,3.87,0.45,Yes,0.075,3780.0,1.33,7.35,22.2,,,,,13.0,SAKB2,18.0,70.0,28.0,697.0,18.69,3.87,27.39453125,43.67578125,4.109375,0.51171875,1.0625,1.24609375,2.703125,5.4296875,0.80078125,4.890625,0.890625,0.62890625,4.109375,0.81640625,0.140625,0.12109375,0.2734375,0.05078125,0.2265625,0.34765625,0.5703125
SAKB3,SAKB1,SADB,Durban,2015-04-22,-30.075822,30.8562836,Durban,South Africa,Africa,Cfa,18.0,28.0,7.0,18.0,,975.0,70.0,12884.0,3796000.0,1995.0,3100.0,3400.0,4380.0,,,28.0,A2O,UCT,Yes,Yes,,473.0,,473.0,18.3,697.0,,697.0,39.0,0.097134643,18.69,18.69,0.0,,,,3.87,3.87,0.45,Yes,0.075,3780.0,1.24,7.35,22.2,,,,,14.0,SAKB3,18.0,70.0,28.0,697.0,18.69,3.87,26.16015625,44.4765625,4.66015625,0.54296875,1.10546875,1.23046875,2.66796875,5.68359375,0.8203125,4.86328125,0.8125,0.66796875,3.76953125,0.80078125,0.09375,0.12890625,0.26953125,0.04296875,0.23046875,0.38671875,0.5859375
SAKB4,SAKB1,SADB,Durban,2015-04-22,-30.075822,30.8562836,Durban,South Africa,Africa,Cfa,18.0,28.0,7.0,18.0,,975.0,70.0,12884.0,3796000.0,1995.0,3100.0,3400.0,4380.0,,,28.0,A2O,UCT,Yes,Yes,,473.0,,473.0,18.3,697.0,,697.0,39.0,0.097134643,18.69,18.69,0.0,,,,3.87,3.87,0.45,Yes,0.075,3780.0,1.24,7.35,22.2,,,,,15.0,SAKB4,18.0,70.0,28.0,697.0,18.69,3.87,24.0859375,46.53515625,4.63671875,0.53125,1.21484375,1.2890625,2.52734375,5.234375,0.67578125,4.98046875,0.95703125,0.7734375,3.984375,0.78515625,0.140625,0.10546875,0.26171875,0.05078125,0.2890625,0.41015625,0.53125
SAKB5,SAKB1,SADB,Durban,2015-04-22,-30.075822,30.8562836,Durban,South Africa,Africa,Cfa,18.0,28.0,7.0,18.0,,975.0,70.0,12884.0,3796000.0,1995.0,3100.0,3400.0,4380.0,,,28.0,A2O,UCT,Yes,Yes,,473.0,,473.0,18.3,697.0,,697.0,39.0,0.097134643,18.69,18.69,0.0,,,,3.87,3.87,0.45,Yes,0.075,3780.0,1.1,7.35,22.2,,,,,16.0,SAKB5,18.0,70.0,28.0,697.0,18.69,3.87,21.97265625,49.0703125,5.140625,0.5078125,1.26953125,1.31640625,2.54296875,4.46484375,0.71875,4.796875,0.95703125,0.62109375,3.953125,0.71875,0.1328125,0.109375,0.27734375,0.05078125,0.234375,0.46875,0.67578125
SAKB6,SAKB1,SADB,Durban,2015-04-22,-30.075822,30.8562836,Durban,South Africa,Africa,Cfa,18.0,28.0,7.0,18.0,,975.0,70.0,12884.0,3796000.0,1995.0,3100.0,3400.0,4380.0,,,28.0,A2O,UCT,Yes,Yes,,473.0,,473.0,18.3,697.0,,697.0,39.0,0.097134643,18.69,18.69,0.0,,,,3.87,3.87,0.45,Yes,0.075,3780.0,1.1,7.35,22.2,,,,,17.0,SAKB6,18.0,70.0,28.0,697.0,18.69,3.87,21.7421875,50.23046875,5.23828125,0.5390625,1.1328125,1.1484375,2.46484375,3.796875,0.65625,4.71484375,0.9609375,0.63671875,4.12109375,0.8046875,0.140625,0.13671875,0.32421875,0.0703125,0.21875,0.33203125,0.58984375
SAPN1,SAPN1,SADB,Durban,2015-04-22,-29.702788,31.0048384,Durban,South Africa,Africa,Cfa,21.0,29.0,13.0,23.0,,975.0,70.0,12884.0,3796000.0,,25000.0,24000.0,7066.0,13.5,13.5,25.0,A2O,MLE (with tapered surface aeration),Yes,Yes,,,,,,450.0,225.0,,55.0,,50.87,50.87,4.0,,,,4.41,,1.36,No,0.0,,1.65,7.15,23.18,,,,,18.0,SAPN1,23.0,70.0,25.0,450.0,50.87,4.41,20.61328125,57.03515625,4.09375,0.921875,0.9609375,0.8125,2.3359375,2.375,1.6015625,3.27734375,1.90625,0.37890625,1.5625,0.20703125,0.03515625,0.3046875,0.90234375,0.015625,0.2421875,0.10546875,0.3125
SAPN2,SAPN1,SADB,Durban,2015-04-22,-29.702788,31.0048384,Durban,South Africa,Africa,Cfa,21.0,29.0,13.0,23.0,,975.0,70.0,12884.0,3796000.0,,25000.0,24000.0,7066.0,13.5,13.5,25.0,A2O,MLE (with tapered surface aeration),Yes,Yes,,,,,,450.0,225.0,,55.0,,50.87,51.87,4.0,,,,4.41,,1.36,No,0.0,,1.65,7.15,23.18,,,,,19.0,SAPN2,23.0,70.0,25.0,450.0,50.87,4.41,21.9765625,55.53125,3.98828125,0.88671875,0.70703125,0.85546875,2.46484375,2.515625,2.09375,2.984375,1.80078125,0.32421875,1.703125,0.23046875,0.02734375,0.33984375,0.8203125,0.015625,0.26171875,0.109375,0.36328125
